Samuel,Hall,M,5650 Union Center,La Cañada Flintridge,shall@omba.net,3.53351E+15,jcb,"$454,287.33",1
Thomas,King,M,50892 Oxford Crossing,Woodside,tking@realpoint.net,3.54186E+15,jcb,"$993,972.98",2
Patrick,Harrison,F,8 Bartillon Circle,West Sacramento,pharrison@riffpath.info,4.91339E+15,visa-electron,"$518,860.56",3
Sarah,West,M,9 Artisan Plaza,Healdsburg,swest@jabbercube.net,4.84473E+15,visa-electron,"$996,970.92",4
John,Hunter,M,5057 Schlimgen Pass,Goleta,jhunter@nlounge.org,6.7619E+18,maestro,"$972,726.43",5
Rachel,Ramos,M,27 Becker Center,Fort Bragg,rramos@topiczoom.edu,5.61053E+15,bankcard,"$481,100.96",6
Donald,Howell,F,5901 Hudson Road,Rancho Cucamonga,dhowell@bluezoom.info,5.47818E+15,diners-club-us-ca,"$384,220.71",7
Tina,Roberts,F,71592 Randy Circle,Seaside,troberts@tagcat.net,3.54379E+15,jcb,"$678,701.47",8
Lawrence,Pierce,M,9 Del Sol Drive,Porterville,lpierce@livetube.info,3.03E+13,diners-club-carte-blanche,"$574,363.62",9
Alan,Rose,M,094 Oriole Park,Placerville,arose@mybuzz.gov,3.53936E+15,jcb,"$275,986.89",10
Patrick,Vasquez,M,8 Drewry Trail,Agoura Hills,pvasquez@browsedrive.com,3.53887E+15,jcb,"$808,963.16",11
Gloria,Foster,F,67 Dwight Circle,Trinidad,gfoster@youbridge.gov,5.02065E+18,maestro,"$944,043.64",12
Susan,Perez,M,8 Nelson Plaza,Monrovia,sperez@skidoo.mil,3.57537E+15,jcb,"$770,306.35",13
Debra,Patterson,F,7 Blue Bill Park Street,Colton,dpatterson@minyx.edu,3.06E+13,diners-club-carte-blanche,"$108,452.56",14
Robert,Fisher,M,492 Hooker Drive,Parlier,rfisher@skalith.net,3.57E+15,jcb,"$173,512.18",15
Diana,Bradley,F,87 Eastwood Pass,Palmdale,dbradley@dynabox.info,3.03E+13,diners-club-carte-blanche,"$475,466.93",16
Jennifer,Nelson,M,85 Menomonie Trail,Rolling Hills,jnelson@topicblab.com,6.76737E+15,solo,"$624,708.46",17
Christine,Mason,F,15 Mockingbird Center,Redlands,,5.60223E+15,bankcard,"$634,486.53",18
Diana,Wagner,F,1250 Sutherland Crossing,Waterford,dwagner@wikido.gov,4.90389E+18,switch,"$23,899.29",19
Andrea,Harvey,M,784 Hayes Pass,Rio Vista,aharvey@agimba.name,3.5665E+15,jcb,"$387,217.83",20
Julie,Howell,F,647 Harper Street,Desert Hot Springs,jhowell@oodoo.biz,3.54407E+15,jcb,"$647,973.51",21
Johnny,Rodriguez,M,069 Gina Street,Escalon,jrodriguez@trudoo.info,3.54E+15,jcb,"$689,753.43",22
Mark,Turner,M,0062 Lukken Crossing,King City,mturner@dabvine.biz,5.32654E+15,mastercard,"$609,646.30",23
Gregory,Parker,M,2119 Pepper Wood Terrace,Mendota,gparker@abatz.net,3.54E+15,jcb,"$100,434.77",24
Barbara,Webb,F,70 Lerdahl Crossing,Coachella,bwebb@yodel.mil,6.3045E+18,maestro,"$563,433.61",25
William,Fuller,M,8142 Kennedy Point,Salinas,wfuller@flashdog.net,3.53E+15,jcb,"$398,036.41",26
Jacqueline,Lopez,F,78 Dixon Lane,El Centro,jlopez@demivee.com,6.04E+14,maestro,"$322,008.46",27
Dorothy,Hall,M,65 Elgar Drive,Sand City,dhall@gabcube.net,5.60222E+15,bankcard,"$678,810.59",28
Sean,Evans,F,0360 Oxford Avenue,Ukiah,sevans@babblestorm.mil,3.58831E+15,jcb,"$516,622.60",29
Roy,Allen,F,65 Fisk Circle,Daly City,rallen@kamba.info,6.75959E+17,switch,"$10,429.19",30
Pamela,Armstrong,F,87 Derek Center,Rosemead,parmstrong@zoomzone.name,3.55769E+15,jcb,"$770,576.35",31
Lisa,Reyes,F,6926 Merry Trail,Sierra Madre,lreyes@jazzy.org,6.38019E+15,instapayment,"$279,487.79",32
Christine,Moore,F,28660 Gerald Way,Laguna Hills,cmoore@tagcat.info,3.58463E+15,jcb,"$724,300.03",33
Christine,Stanley,F,9627 Hollow Ridge Street,Lathrop,cstanley@trunyx.com,3.57516E+15,jcb,"$75,274.13",34
Evelyn,Hansen,M,18483 Blackbird Place,Mountain View,ehansen@cogibox.mil,3.59E+15,jcb,"$228,756.81",35
Edward,Robertson,M,4253 Eagan Court,Simi Valley,erobertson@quatz.mil,3.75E+14,americanexpress,"$463,996.92",36
Steven,Matthews,F,67159 Buena Vista Parkway,Ceres,smatthews@youspan.info,3.54751E+15,jcb,"$788,966.88",37
Sara,Young,F,42858 Jay Road,Temecula,syoung@jetwire.net,5.60224E+15,bankcard,"$12,444.11",38
Victor,Ross,F,553 Hoepker Way,West Sacramento,vross@bluejam.com,3.57607E+15,jcb,"$66,137.46",39
Philip,Gray,F,55581 Loomis Lane,Clearlake,pgray@meezzy.gov,6.76351E+15,maestro,"$709,857.91",40
Joan,Cooper,M,312 Crest Line Place,Santa Clara,jcooper@zoombeat.info,5.60224E+18,china-unionpay,"$38,327.14",41
Larry,Reyes,M,35 Orin Avenue,Palmdale,lreyes@camimbo.name,3.54425E+15,jcb,"$89,837.68",42
Rose,Fields,M,24574 Sundown Alley,Modesto,rfields@jabbertype.com,3.58432E+15,jcb,"-$8,415.02",43
Donald,Rose,M,8 Garrison Avenue,Del Mar,drose@quatz.org,3.01E+13,diners-club-carte-blanche,"$450,243.83",44
Antonio,Bennett,M,2 Rigney Point,Suisun City,abennett@livetube.biz,3.38E+14,americanexpress,"$446,180.22",45
Howard,Perkins,M,384 Jenna Hill,Carson,hperkins@vinte.mil,3.66E+13,diners-club-international,"$644,986.56",46
